device,intent,canonical_question,answer,patterns
Mouse,power_on,How to connect or start using the mouse?,Make sure the mouse USB receiver is plugged in or the USB cable is connected to your laptop. Wait a few seconds for the system to recognize it.,connect;plug in;start;use mouse;enable;turn on;power on
Mouse,power_off,How to safely stop using the mouse?,You can simply stop using it. For wireless mice you can switch it off from the bottom or remove the batteries if storing it for a long time.,turn off;switch off;power off;stop using;shut down
Mouse,usage,How to use the mouse properly?,Use the left button to select and click and use the right button for options and the scroll wheel to navigate. Keep the sensor area clean for accurate tracking.,how to use;usage;operate;control;click;scroll
Mouse,safety,What are the safety and ergonomic tips for the mouse?,Keep your wrist relaxed and avoid gripping too tightly. Take short breaks every thirty to forty five minutes to reduce strain.,safety;safe;ergonomic;health;precaution
KeyboardLayer,power_on,How to start using the keyboard?,Connect the keyboard with a USB cable or ensure Bluetooth is paired. Once connected it is ready to type.,connect;plug in;start;use keyboard;enable;turn on;power on
KeyboardLayer,power_off,How to stop using the keyboard?,Disconnect the USB cable or turn off Bluetooth. For wireless keyboards use the power switch if available.,turn off;switch off;power off;disconnect;shut down
KeyboardLayer,usage,How to use the keyboard effectively?,Use proper typing posture with relaxed wrists and elbows around ninety degrees. Avoid pressing keys too hard and learn shortcuts such as copy and paste.,how to use;usage;type;typing;shortcuts;operate
KeyboardLayer,safety,What are safety and ergonomic tips for the keyboard?,Keep the keyboard at a comfortable height and take regular breaks and stretch your fingers and wrists to prevent strain.,safety;safe;ergonomic;health;precaution
Food_Processor,power_on,How to turn on the food processor?,Ensure the jar is locked in place and the lid is properly closed. Then plug in the power cable and press the power or start button.,turn on;power on;start;switch on;begin
Food_Processor,power_off,How to turn off the food processor?,First press the power or stop button and then unplug the power cable from the wall socket.,turn off;switch off;power off;stop;shut down
Food_Processor,usage,How to use the food processor safely?,Do not overload the jar and always close the lid before starting. Start at a low speed and increase gradually if required.,how to use;usage;operate;run;process;blend;chop
Food_Processor,cleaning,How to clean the food processor?,Unplug the appliance and remove the jar and blades and lid. Wash removable parts with warm soapy water and dry them completely. Do not immerse the motor base in water.,clean;washing;wash;maintain;maintenance
Food_Processor,safety,What are safety precautions for the food processor?,Keep hands and utensils away from the blades while it is running and always unplug before cleaning or changing blades. Do not operate it with a damaged cable.,safety;safe;danger;precaution;warning
Water_Heater,power_on,How to turn on the water heater or kettle?,Fill the kettle with water between the minimum and maximum marks and place it on the base and press the power switch. The indicator light should turn on.,turn on;power on;boil water;start;switch on
Water_Heater,power_off,How to turn off the water heater or kettle?,Most kettles turn off automatically after boiling. You can also manually switch it off and unplug it from the socket.,turn off;switch off;stop;power off;shut down
Water_Heater,usage,How to use the water heater safely?,Do not fill it above the maximum line and keep the lid closed while boiling. Do not touch the metal body immediately after boiling because it can be very hot.,how to use;usage;boil;operate;heat water
Water_Heater,cleaning,How to clean the water heater or kettle?,Unplug it and let it cool. For descaling fill it with water and a little vinegar and boil it and then discard and rinse well. Wipe the exterior with a damp cloth.,clean;descale;remove limescale;wash;maintenance
Water_Heater,safety,What are safety precautions for the water heater?,Never operate it without water and keep it away from children. Always unplug it before cleaning and do not immerse the base or electrical parts in water.,safety;safe;danger;precaution;warning
undefined,usage,What is the undefined class?,The undefined class is used for objects or backgrounds that are not recognised as known devices. The assistant should normally ignore these for question answering.,undefined;background;not device;ignore;nothing
